manufacturer_id,manufacturer_name
1249,Altaya
1250,Lag3
1251,Looney Tunes
1252,Alfa Romeo
1253,Britains
1254,Road Signature
1255,Ferrari
1256,Italeri
1257,VW
1258,CAT Construction
1259,Dickies
1260,Mercedes-Benz
1261,"Richmond Toys, Motormax"
1262,basetoys
1263,Speed Cycles
1264,Lancia
1265,Joyride Entertainment - James Bond
1266,MENG
1267,SGM ®
1268,Bentley
1269,Joal
1270,Yat Ming
1271,Gemini Jets
1272,Omnibus
1273,Britains Farm
1274,Seben-Racing
1275,Motor Mania
1276,Land Rover
1277,Easymodel
1278,Spark
1279,ICM
1280,Wilesco
1281,Mirage Hobby
1282,AFV Club
1283,Academy
1284,Emhar
1285,Lucky omen
1286,Dust Studio
1287,Plastic Soldier Company
1288,Timberkits
1289,In The Greenwood Laser
1290,Hobbyboss
1291,Zvezda
1292,Takom
1293,Dickie-Tamiya
1294,Armourfast
1295,Warlord Games
1296,Dragon
1297,FoG models
1298,Del Prado
1299,Bronco
1300,Bronco Models
1301,Pegasus Hobbies
1302,Mirror Models
1303,Model Kasten
1304,HLT Miniatures
1305,Asuka Model
1306,Fascinations
1307,DRAGON / Aoshima
1308,INTERALLIED
1309,Platts
1310,Fine Molds
1311,Ace Authentic
1312,Special Armour
1313,Noch
1314,NoName
1315,All Aboard
1316,Black Butler
1317,Kibri
1318,Bojeux
1319,MASK-ARADE
1320,Funny Party Hats
1321,Life Is Good
1322,ACROBAT & BUFFOONERY LTD
1323,Gleader
1324,Samantha Peach
1325,OMO
1326,unbespielt
1327,HappyFans
1328,TV Stars
1329,Eye Masks
1330,NEO+
1331,Kids Stars
1332,TOOGOO(R)
1333,EQD Ltd
1334,ASCRAFTS
1335,Greyland Mask
1336,chinkyboo
1337,Big Party Costumes
1338,OMYGOD
1339,Zagone Studios
1340,WIDMANN S.R.L.
1341,WAS
1342,TopMei
1343,FHS
1344,UltraByEasyPeasyStore
1345,Celebrity Cutouts
1346,Ting Tang
1347,DIY Celebrity Masks
1348,BARGAINS-GALORE
1349,CreepyParty
1350,partiesandgifts
1351,Ark Toys
1352,Glantop
1353,Great Value Multipacks
1354,Monsters University
1355,Om
1356,Blue Frog Toys
1357,Lucy Locket
1358,Noble Collection
1359,Internet Gift Store
1360,Custom Masks
1361,Curious George
1362,Best Dressed
1363,BINGWAN
1364,Tinksky
1365,Fine Horse
1366,Big Hero 6
1367,The Cosplay Company
1368,Coxeer
1369,SOPHZZZZ TOY SHOP
1370,Pop Stars
1371,Foxy Facemasks
1372,Movie Stars
1373,Starepe
1374,FDPS
1375,MASK & CO
1376,Babe Mall Inc
1377,Palmers
1378,ONTRAD Limited
1379,Posh Porschey
1380,MaskHeaven
1381,Royal Family
1382,Papo
1383,Peanuts
1384,Holztiger
1385,Holtztiger
1386,OnlineDiscountStore
1387,Safari
1388,Littlest Pet Shop
1389,Breyer
1390,Toob
1391,Frogs
1392,Scificollector
1393,Papo Fantasy
1394,Aedes Ars
1395,SF801329TT
1396,Mike the Knight
1397,Papo Knights
1398,Dragon Models
1399,Calafant
1400,Idena
1401,Quay
1402,Imagingext
1403,Cards
1404,BENELIC
1405,Janod
1406,Dragon Defenders of Berk
1407,Oskar & Ellen
1408,Sevi
1409,Takaratommy
1410,Budkins
1411,Saint Seiya
